,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
148,2664,11641,11641,4.0,True,"11 21, 2016",A1MOLMEBRO23PR,B015SWVD3M,,Daniel Young,great buy,Four Stars,1479686400,,
893,109,4362,4362,5.0,False,"01 25, 2010",A2JAEZ0FMAMJVW,B002I7LYBC,,A. H.,"In the past fifteen years or so, I've had experience with Norton, McAfee, ZoneLabs, and Kaspersky anti-virus and security software.  Bitdefender ranks right up there among the least problematic security suites I've come across.

I've had McAfee products that brought my computer to its knees and ZoneLabs products that interfered terribly with Internet browsing.  I haven't noticed any glitches so far with Bitdefender 2010.  It's the most transparent suite I've used.

I installed this software on a Pentium 4 HT with 2gb RAM that runs WinXP Pro.  Firefox still clips along, and the antivirus engine does a pretty quick job of working through the nearly 400gbs of files I've got on the 500gb hard drive.

There are many customizable options in the Bitdefender interface.  None of it is confusing, but there are a lot of options.  The software operates simply, though.  It doesn't throw numerous alerts at you every time you do something on the PC.  It knows which new programs to trust (whitelisting?) and allows them access through the firewall.  I haven't had a problem with malware on this machine.  It seems to be doing just fine.

In all, this is a worthy contender.  I rate it right up there with Kaspersky 2010, my other favorite suite at the moment.  It doesn't hog system resources the way other suites do, and it doesn't get in the way.  But it does its job.  What more can you ask for?",Running smoothly and effectively,1264377600,,
952,306,8652,8652,4.0,True,"08 21, 2014",A7QOOJUE2THEC,B00FFIO0NA,{'Platform:': ' PC Download'},Louis Gedo,"I've used this program for the past 4 years and it just works, taking me through the process step by step",Better than paying someone $200 to do my taxes,1408579200,,
341,1651,6127,6127,5.0,True,"04 20, 2015",A2BKS36BUQIB32,B005S4Y65I,{'Format:': ' CD-ROM'},04 ZRX 1200R &amp;#34;Kurt&amp;#34;,"Worked great saved me so much money versus a ""Pro"" brick & cement house""","Buy it if you love it, now they have changed & makes it awful",1429488000,,
30,2314,453,453,5.0,False,"02 28, 2003",A1QVFHPY8418HC,B00005MOTE,,monkuboy,"I was using Windows 98SE and overall was happy with it.  While I experienced some lockups and freezing, it didn't happen that often.  What prompted me to switch to XP was a desire for better memory management (Windows 98 doesn't do a very good job), more stability even though Win98 wasn't bad for me, and an overall change of scenery.  So finally I made the plunge, doing a clean install instead of trying to upgrade over 98.
The Upgrade Advisor that you can download from Microsoft.com was very useful.  Luckily everything except my NEC printer was compatible with XP.  Next, the Transfer Settings and Files Wizard that comes on the XP disk also came in handy.  It gathers all your settings and/or files from the ""old computer,"" saves them in a file (or transfers them directly - you have various options) which you can then put on the new computer.  I wound up transferring only settings using the wizard.  Originally I told it to transfer files too, but it copied too many things that were unnecessary and the result was way too big to fit on a cd.  I would advise copying your documents and other important files manually but letting XP transfer your settings.  That way you can be more selective about what gets transferred (assuming you are doing a clean install).
Installation of XP went very smoothly.  It identified all my hardware, and I was able to reinstall my software with no problems.  Using the Transfer Wizard to move the settings to the new installation worked fine and was a real time saver - it moved all of my internet and e-mail settings and messages over with ease.  All user input was very clearly explained and the process overall was quite simple.
Using XP: There's a lot I still have to learn, but so far the system has been stable and I notice memory is managed much better than under 98.  It loads faster and while the much more colorful layout took some getting used to, now it seems like 98 is in black and white by comparison.  I also use the ""clear type"" option for fonts and find that they are easier to read than under a ""normal"" display (it seems to me that the main difference is that clear type makes it darker and bolder).
I'm glad I made the switch.  I've read some complaints about installation experiences and also the strict registration requirements but my experience so far has been all positive (knock on wood, of course!).  It seems like the Microsoft engineers really gave this a lot of thought and put it into action.",I Guess I'm Lucky,1046390400,13.0,
216,326,7194,7194,5.0,True,"01 13, 2015",A1P3VXTAZSHUIP,B00A6TPHZS,,Spenn,No problem with the key I purchased. Installed Windows 8 OK and upgraded to 8.1 with minimal issues.,Key worked fine,1421107200,,
226,496,8764,8764,5.0,True,"10 30, 2016",A2KIIQX2TH70MR,B00FZ0FK0U,{'Format:': ' Software Download'},C,"I my self have used WEBROOT for more than a few Years on Windows XP, VISTA, 7, 8.1, 10 to present windows 10 new update to version1607...
WEBROOT works great for me!!! NO Trouble at all...I used NORTON : (  and don't like Norton ad Not A fan of Norton used more than a few times The Free Version of Norton Is GREAT!!! but the one you Pay for YUCK!!! it uses to much space on your Hard drive and at times lock you off being able get online and ties the computer up...",WEBROOT works great for me,1477785600,,
311,1770,10590,10590,1.0,True,"05 4, 2016",A2OPWMG3XM3W1T,B00SWCP8CI,,Tammi,Bad,bad,1462320000,,
151,138,8281,8281,5.0,True,"12 17, 2014",A197GS9TRBOKX8,B00EZQYC8G,{'Platform:': ' PC Disc'},JIM R.,One of the best Internet Security pieces of software today. Worth the investment.,Norton Works Well,1418774400,,
155,1475,10909,10909,5.0,True,"02 3, 2016",A1PKJZRM97ELT8,B010P91LYY,{'Platform:': ' PC/Mac'},Widgeted,Seems to work great and much less expensive than Norton,Five Stars,1454457600,,
543,2702,3319,3319,3.0,False,"08 16, 2009",AG90OGHDGOOVH,B0017KEA6W,,David Stapleton,"In brief,
- the software installed without problem on my Windows Vista 64 laptop,
- the GPS dongle works as intended, but must be outside to get lock on satellites (as expected)
- trip plotting is reasonably efficient, but not perfect (I'd like to see an option that minimizes changing freeways as long as it does not add more than a few miles to the overall trip distance, that would be really useful in packed urban areas like Los Angeles with numerous interchanges)
- works as well as my Garman nuvi 760 with the big exception of the form factor

The bottom line question is ultimately, Is it useful? I have to answer no, not really. I can get maps and trip directions from the internet in most cases for free. For actual, real life driving, a dedicated GPS wins out if for no other reason than that the form factor of carrying a laptop (even the new netbooks) is just too cumbersome for ease of use and safe viewing while driving. This is not to say that the product doesn't work, just that there are better or cheaper solutions on the market to fill the need.
P-)","Useful, well sort of...",1250380800,,
234,1235,5726,5726,4.0,False,"12 20, 2012",A17A1KTVI3DG6U,B005AAWP1W,,Nathan A. Edwards,"I have been using Maximum Security '12 for almost a year now, and I have to say that I prefer Trend Micro products.

It is undeniable that Trend Micro catches some flak from industry critics, which concerned me at first. I utilized Trend Micro in '10, saw some of the reviews for the company, and subsequently tried a few of the critically acclaimed heavy hitters for my PC protection in 2011. The fact is, almost every other program I tried annihilated my computer's performance in comparison to Trend's light load. What's more, because of the rather typical use of my machine, Trend seems to do just as good of a job protecting my PC as the big gun programs that bring it to a grinding halt.

All in all, I don't seem to require more security than what Trend provides, and I definitely require more performance out of my computer than what many other programs permit. This being the case, Trend Micro's PC security options will be my go-to preference moving forward.",Not a burden,1355961600,,
414,1396,7056,7056,5.0,True,"02 8, 2013",A2U0LXK29W2U6,B009CCVMOU,{'Format:': ' Software'},GmaH in SC,I buy this every year.  It's simple to use and a lot cheaper than an accountant.  Use it every year and it keeps track of former returns so you can't accidently skip an entry.,It works,1360281600,,
724,1322,10835,10835,5.0,True,"09 6, 2017",A1O16J4RN90W3H,B01019T6O0,{'Style:': ' USB Flash Drive'},CD music collector,Great software upgrade and easy to use and install. Later qualifies you for upgrade to the latest Windows 10 Creators Home edition. Great system and works great!!!,"Great software upgrade quick, easy, and straightforward to use and install!!!",1504656000,2.0,
612,27,11297,11297,4.0,False,"06 18, 2016",A3W4D8XOGLWUN5,B0148BYIPY,{'Platform:': ' Mac Key Card'},Michael Kerner,"I honestly have to say that when it does come down to computer software, Microsoft has been the leader at getting the programs out to the public, and has taken a very strong stance at delivering the best for all your PC needs. But while Microsoft has been so dominant with those needs, Apple has been one of those companies that has delivered with external devices brilliantly, especially with the Ipod and Itunes assertively. But for word processing, it has been your choice of one or the other. But there are also those whom are just not really thrilled about getting into a subscription service for MS Office 365. They may have just one computer, and only one for those needs. Well, this would be a good buy for those with only 1 Mac computer for those simple needs. Microsoft Office 2016 for 1 Mac computer, works just as strongly as the Office 2016 for the Windows computers, and you do have all the simple features including Word, Excel & many of all your office software needs. It runs very smoothly, and doesn't have a lot of flaws when installed. It works very nicely with updating all your old files from Word and some from other word processing suites like Corel, and converts them so well. It really stands up well for the money, and runs very smoothly on the Mac computers. I sincerely recommend this suite for your Mac computer. While Microsoft has been so geared on Windows, they have some really good pieces for the Apple brothers.

Price: B

Convenience & Setup: B 1/2-

Overall: B",Apple's Windows Helper,1466208000,,
322,990,11538,11538,5.0,True,"10 8, 2016",A6M01NDCD957E,B015724RQI,{'Platform:': ' 10D PC/Mac Download'},James McDonald,Great as usual,Good Product,1475884800,,
465,2361,11059,11059,3.0,False,"11 13, 2015",A2BB4DGBRVGKWW,B0123C648Y,,A Customer,"I am an artsy type, but also lazy. I loved art class in school because I had a whole room full of supplies, though I hated cleaning up. I was really looking forward to using this software because it simulates all of that messy stuff which is fun to use but not convenient. Fun times ahead!

It's mostly a fairly straightforward painting/editing program, but it has a whole ton of ""brushes"", both simulated real art tools (paint brushes, pens, spatulas, airbrushing, etc) and some wacky fun stuff like the ""image hose"" which lays down a trail of objects. If you're a skilled hand artist, or planning to become one, many of the brush types will be very useful in creating digital images which do look very much like they were created with brush, pen, or sponge strokes.

However, for what I expected to be a pretty high-end piece of software, I was disappointed with some quirks.

To avoid using the word ""tool"" (often used to refer to editing tools) and also avoid calling everything a ""brush"", I will refer to all simulated things as implements.

Some of the implements are too perfect and constant, and obvious patterns show. The ""loaded palette knife 2"" strokes with a pattern you might expect from a scraping painter's knife, but it NEVER CHANGES, down to the pixel. And unlike some of the other implements, there's no rounding or smoothing of the stroke to make it look convincing. It's exactly what you would get by copying and dragging a row of pixels in a paint program on an old DOS box. See the uploaded image, it's loaded with patterned artifacts. Utterly useless. Some others had similar problems, but I remembered this knife as the worst.

Some implements which rotate to match the stroke direction have a similar problem. They are completely 2-dimensional, and while they make delightful swirls of texture, they ALWAYS start and end with a completely flat row of pixels, just as no object in the univers would if used to draw. Again, it looks like the obvious result of a paint program.

One feature I was initially happy to see is the ability to zoom in with the mouse's scroll wheel. Why that isn't universal I have no idea, and being a detail hawk I am constantly zooming in and out at various points. Great! But it's silly, because using your scroll wheel will only zoom in to the exact center of your screen. The program doesn't care where your cursor is! So you have to first drag over to center whatever area you want to zoom in on. How did they not think to make it zoom in on the area I am pointing at? Yes, I can drag to the area first, but zooming in & out is something I might do literally hundreds of times while working on one image.

I was not able to figure out why trying to pick the crop tool sometimes jumps my focus down to the canvass layer, which is surely the last layer anyone would want to crop and move. Unlike some other things, there was no popup telling me why it didn't want to let me crop the paint layer.

Here's another silly thing. The escape key does not un-select things. If you use the select tool, and have the dotted box around an area then either perform some action or change your mind, you want to un-select the area. In every other program I have used, either ESC or ENTER will unselect the area and let you move on with your life, which is handy because you can draw with your right hand and hit keys like that with your left. In Corel, you have to use the ""reset tool"" on the menu bar. Again, it might not seem like a big deal but it interrupts the flow of an action you might do hundreds of times while working on a serious project. And it's not like the ESC key does anything else.

And finally, though the number of tools is impressive at first, it's all about buying upgrades. Want more brushes? Hand over a chunk of cash. It looks like the ""image hose"" is the same, and you can only use leaves and tires so many times before your work looks like a child got on your computer when you weren't there.  When the program first started, this really convenient learning interface popped up. Oh good, something to get me started! Not really, they're all ""30 lecture"" bundles you have to buy. No free 5-minute intro to using Corel's mediocre interface.

Overall, it's got some good stuff. But don't think you're buying into some great thing. They think they're selling you a bare-bones system, some of which can be addressed with upgrades and some maybe not.",Expected better,1447372800,9.0,['https://images-na.ssl-images-amazon.com/images/I/61R--+XleWL._SY88.jpg']
818,1609,6522,6522,2.0,False,"05 14, 2013",A105S56ODHGJEK,B008414ZYY,{'Format:': ' CD-ROM'},Peace Daddy,"I was expecting a bit of a learning curve with Sage 50, but after spending several hours with it, it ended up being way too complicated and not worth the effort in wasting any more time. Unless you're already familiar with the program or have somebody who knows what they're doing working with this, I can't recommend it. It's just not worth the extreme hassle -- they could have made this much easier to learn for the average person, or even somebody with a little knowledge in the area like myself.",Way too complicated,1368489600,,
951,812,12467,12467,2.0,False,"01 23, 2013",A6VPK7X53QNAQ,B003CIPI9A,{'Platform:': ' PC Disc'},Zen,"To register this software you must call a number and be subjected to an extreme sales pitch to upgrade. After that you find that this is a page publisher like MS Publisher to create newsletters etc. There are some useful features but it will feel clunky to those used to the Microsoft interface or even Photoshop Elements etc.

Overall, this is a good entry level software if you can avoid the registration hassle. I'd evaluate the free trial version before going in for the purchase.","Some good features, registration is not worth the pain.",1358899200,,
415,683,8534,8534,5.0,True,"03 11, 2014",A3AP2MA7YIWA4F,B00F8K9N32,{'Platform:': ' PC Disc'},Rick In NorthEast,"Review is about the PROGRAM, not Amazon.
This is the Business(ONLY) version and does NOT come with a free State.
(The other four types do...)
It is NOT for personal income taxes. (1040, etc.) SPECIAL USE ONLY...
My Mom died and it will cost (quoting inflated list prices) $200 to fill out a couple
forms to say ""she"" made a little money after her death...
I've heard other companies software products are less but are poor at this section...",Business version is a rip off. (By Intuit.),1394496000,,
228,157,1478,1478,5.0,False,"02 8, 2014",A10P8UG177H2XR,B000HCZ8EO,{'Format:': ' Software'},cyharriscat,"Do you need a basic but .docx/.xlsx/.pptx capable version of real Microsoft Office? OpenOffice not doing a good enough job for what you need? Are you put off by Office 2013, which doesn't offer three product keys for your trouble? Are you even more put off with Microsoft turning Office into Software as a Service with Office 365?

Well, you're going to have to accept some compromises, namely the hated Ribbon and not having all the Office apps. But there are Z number of people who have late Windows XP/early Windows Vista era PCs that are perfect for secondary production running Windows 7 from a retail upgrade disk-and when you do the clean install upgrade for Windows, which you will eventually have to do due to Windows rot, you are going to need Office and you may never get up the budget to where you want to invest in Office 2010 or later for such a low-end often barely Aero-capable PC, so this is perfect as long as you temper your expectations.

With properly set expectations and a legal copy of Office 2007 Home and Student, you can now get down to how it works.

It works by running basic Word, Excel, PowerPoint, and OneNote tasks  It's not going to wow you like a new version of Office, but a common thread I've read in hundreds of reviews for various versions and editions of Office is why do they break what works in the previous version when they release a new version? Well, by buying an older version, there are no surprises as regards what Office can and can't do, because it's been around for however many years it's been since the date the version in question (Office 2007 Home and Student, which is 7 years as of when I write this) was made.

What can it actually do? Well, Word's fully featured (as long as you're using it for home or student use.) Excel is fully featured as regards the base program (again, the same caveat applies.) PowerPoint will get your presentations done, although you'll miss some of the customizations of later versions. OneNote is fully featured, and it along with PowerPoint have the caveat that they're for home or student use. The only thing that really lacks in Home and Student versus let's say Ultimate (which I use for troubleshooting through over-engineering), is the Microsoft Office Tools-you can't expect fancy things like Business Contact Manager and the accompanying copy of SQL Server 2005 Express.

In case you're wondering, I'm reviewing this for my aunt and uncle, who sat there and bought a PC in May of 2009 and thanks to a certain ability I have to troubleshoot combined with them buying retail Windows 7 Home Premium Upgrade through the Best Buy fulfillment of the Windows 7 Upgrade Option that was current at the time along with retail Office 2007 Home and Student that they beat out of HP's customer (dis)service-albeit with having to pay for it, I get to (and thoroughly enjoy) troubleshooting their PC whenever it is having an issue because I'm on a mission to keep them off of the crack Windows that is Windows 8/RT/8.1/RT 8.1/Windows Phone 8X/Windows Phone 8.1x and I thoroughly enjoy every time I can fix their PC that uses this software.

Office 2007 Home and Student was a change for them at first from the WordPerfect Office suite they were using on their old XP computer, a Dell Dimension 2400 (They replaced it with an AMD Athlon 64 X2 7750+ 4GB RAM 500GB HD HP Pavilion Slimline S5120Y. But then again so was Vista and then 7-they didn't have too much trouble with Vista, but Windows 7 Home Premium combined with this version of Office makes them able to do everything they would ever want to do with Office and a PC. When that changes, they will upgrade-and so far it's not changing.

I just think that Office 2007 (whether lowly Home and Student or mighty Ultimate or something in between like Professional) didn't deserve the reputation it got as regards the Ribbon. People were (and some still are) so angry about the Ribbon that they don't like Office because of the Ribbon. I know I am not as qualified as some people to speak due to my aversion to command line interfaces, whether of the old school DOS/Unix variety or whether of the newfangled Windows PowerShell variety, but I know this for a fact:

Once I properly configured their PC with Windows 7 Home Premium Retail Upgrade on a clean install and reimported their programs, files, and settings, they were using it productively as could be until a virus hit that forced them to pay someone way too much to repair their computer. I was able to set it right and from the moment I first showed them how to do basic things like bold, underline, italics, margins, indentation, in other words showed them where Microsoft Office 2007 Home and Student put the tools they were using in WordPerfect Office, they've been happily using Office with the Ribbon.

I hate to discount those who have had negative experiences with Office 2007, because I don't like most change-especially not the licensing restrictions growing ever tighter since 2000, but I haven't had any problems with the Ribbon either.

So with the Ribbon discounted for us and our family, we can now move on to infinitely more pressing matters. Which is how does Office (specifically 2007 Home and Student) perform in real world tasks? Well, it doesn't make you have to renew the usage rights to it every year, it supports the .docx/.xlsx/.pptx trio, and it has a user interface that aside from being different is actually usable (if you can figure out what each button on each section of the ribbon is for, which ToolTips really help with that and they're on by default).

In summation, for the reasons outlined above, Microsoft Office 2007 Home and Student is worth the money if you can get a legal copy. I recommend it as long as it's needs match up well with what you need out of (specifically Microsoft) Office,

Take this as you will, 2 families' experiences with Office 2007, one Ultimate, one Home and Student, which is positive and we continue to use Office 2007 to this day.","It's maybe behind the curve, but you can still do a lot with it.",1391817600,,
441,1937,8589,8589,4.0,True,"07 22, 2015",A1Y3PKMAQEVHK7,B00FB5R6L0,,Bruce H,Nice software to copy disks.  Easy to use,Good inexpensive software for disk copies,1437523200,,
690,2294,6541,6541,5.0,True,"01 25, 2015",A3E4OLI1U8WA5W,B008H3SW4I,{'Format:': ' Software'},Anthony C. Ho,Good stuff great quality s,Five Stars,1422144000,,
132,420,12422,12422,5.0,False,"04 25, 2013",A21S26XYPGXJZX,B001TYYZCA,,Bigdumptruck,"My step-son is an artist, and this tool kept him busy for hours, and taught him a LOT about using computer tools to create art. He has since moved on to professional drawing software, but Painter was the tool that showed him you could create real works of art on a computer.","Fun Product, Taught My Son About Computer Art",1366848000,,
534,1158,9580,9580,3.0,True,"03 30, 2015",ANFRSLQ583FE4,B00MA5TPN6,,sticks,I've been an IBM compatible computer user for years and was a Micosoft BETA tester for Windows 95 so naturally have a lot of Windows software. I recently became a Mac owner and found that many of the Windows applications I have had no Mac counterpart. Parallels seemed to be the answer. Using Parallels to run Windows reminded me of the days when Windows was an operating environment loaded after booting into DOS and it always felt that way to me. I encountered a problem in trying to print from Windows applications which rendered those applications useless. Attempts to get technical support from Parallels or Mac were fruitless. Parallels was unresponsive and Mac wanted $100 just to answer a question on the telephone. I had also purchased several Mac applications which were similar to their Windows counterpart but not as usable. I abandoned my Mac and returned to using my IBM compatible (which is nowadays called a PC). PC stands for Personal Computer which a Mac is also.,probably okay for confirmed Mac users,1427673600,,
256,869,1242,1242,5.0,True,"03 19, 2009",AW0UV7Z8909P6,B000EORV8Q,,Timothy R. Long,"First one I ever bought, so far so good.  Seems to work well and installation was easy, except that the installation instructions were difficult to follow.  I called my cable company and they helped me figure out what to do.",Wireless-G Cable/DSL Router,1237420800,,
864,1562,10911,10911,5.0,False,"12 30, 2015",A2RYWPOL4NN2KG,B010P91LYY,{'Platform:': ' PC/Mac'},Raed Haed,"I've been running Norton on my desktop for the past few years. I thought I would try this and see if I like it better. It does seem to use less resources and seems to pick up malware well. It doesn't quite have the bells and whistles that I have with the Norton. I can't get too technical on this review because I'm not a tech wiz, but it seems like McAfee runs smoother and doesn't slow down my computer as much as Norton does when it's running. I never got a virus while using Norton 360, so it'll be interesting to see how well McAfee protects me compared to Norton. So far I like it.",So far it's running well.,1451433600,3.0,
654,2796,6371,6371,4.0,False,"09 28, 2012",ALDAF4VVLFRHP,B006WVR9GY,{'Platform:': ' PC/Mac Disc'},Patricia Brouillette,"I am going to school working on my Bachelors' degree  in Photograph, I am required to use Adobe Lightroom, so when I got this, I was looking forward to see how it compared to Lightroom. It is definitely a nice and cheaper alternative, especially for beginners or just for family photos.

It isn't quite up to Lightroom, but definitely something that might be good to start out with, especially if you are a beginner and/or on a budget.

It is nice to download my sd card and being able to get an overview of all the photos that I have taken, also having a program that will organize the photos and put them in specific folders. It is a very hand program.",Cool alternative,1348790400,5.0,
582,87,9794,9794,5.0,True,"09 28, 2015",AQVNJVVCII62J,B00MV9EL6M,,Yavapaibill,Works as advertised,Excellent product,1443398400,,
