,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,asin,image,overall,reviewText,reviewTextClean,reviewTime,reviewerID,reviewerName,style,summary,unixReviewTime,verified,vote,sentiment
2895,8513,165982,165982,B002QUZM0U,,5.0,Works great,work great,"04 27, 2015",A14SBYGGQJN56H,Patricia A Chafian,,Five Stars,1430092800,True,,1
1188,7318,159922,159922,B002EQFXQE,,5.0,"I had previously ordered the SanDisk version to save a few dollars, but not only did it not work, it damaged my hard drive to the point where I had to purchase a new phone altogether.  I was weary about trying this M2, because I didn't want a repeat of the previous experience; but I needed the memory.

With ""fingers crossed"", I inserted the Sony version and it immediately worked perfectly.  It is frustrating having how Sony requires people to use their proprietary equipment for so many things, but it's no worse than Apple I guess.",previously ordered sandisk version save dollar work damaged hard drive point purchase new phone altogether weary trying want repeat previous experience needed memory finger crossed inserted sony version immediately worked perfectly frustrating sony requires people use proprietary equipment many thing worse apple guess,"05 17, 2013",A15USGUHAJFSYU,randoman73,,This Works For My Sony Ericsson W760i Phone,1368748800,True,,1
1989,6232,619257,619257,B0158AZOHU,,5.0,Color is true and it's stays on like I would hope. As far as folding to make a stand I have not really tried it but I'm sure it works. If I try it I will update review.,color true stay like would hope far folding make stand really tried sure work try update review,"04 21, 2017",AJZI83Z03XV6X,Danielle,{'Color:': ' A-Mint Green'},Color is true and it's stays on like I would hope,1492732800,True,,1
1118,3159,622684,622684,B015PRO512,,5.0,Full house coverage.  Has not required a single restart since installing.  Excellent product.,full house coverage required single restart since installing excellent product,"08 28, 2016",A24Q9EEESJHMAQ,Steven Schmidt,,Excellent product.,1472342400,True,,1
2516,7895,623760,623760,B015WCV70W,,5.0,"Good image, solid base.  I like the auto-switch function because I use this with a desktop and sometime a laptop.",good image solid base like auto switch function use desktop sometime laptop,"03 10, 2018",A3CXSO4FGIX5US,T. Carlson,{'Style:': ' Monitor'},Great,1520640000,True,,1
1662,7904,674562,674562,B01FJFNE5I,,5.0,"In recent years, I've become a big fan of Lenovo.  After having some issues with purchases of an HP, 2 Acers,and a Dell over the past 4 years, I decided to give Lenovo a chance.  The first Lenovo purchase was for two 'Lenovo IdeaPad Y510p 59388313 15.6-Inch Laptop (Dusk Black) ' laptops.  While I found them a bit more expensive than other available laptops of similar specs, I was fed up with the poor performance and/or qualty of prior brands.

It's been about 2.5 years since the purchase of the Y510p laptops.  However, my wife was still using one of the last remaining Acers (a V5 Touch) as of this purchase a little over a month ago.  She could no longer stand to use it.  It had been replaced via Squaretrade maybe 6-8 months earlier and now it too was freezing and just barely responsive at time.  So I jumped on Amazon to find her a new laptop when I stumbled across this one one sale.  It's only been a short time, but this Lenovo has performed admirably.  It is super responsive and fairly lightweight when compared to other laptops, including the the Acer V5 touch.

It provides a strong specs showing at the price point.  It was retailing on Amazon for around $600 or so, but had a sale price of around $515.  However, I think that was PrimeDay and I got it for $400.  Great deal considering the specs:

Intel i5-6200U 2.3GH
8GB RAM
1TB Harddrive
Optical DVD RW drive
HD LED 15.6"" display
High-speed 802.11 a/c
USB 3.0 port
HDMI out
Windows 10

I've played around with it while my wife was away and it is impressive.  I wish I would have picked up a second one, at that price.  So we know have 3 Lenovo laptops and they have operated perfectly.  Even the 2.5 year old Y510p still perform as they did when new (one of which is heavily used for business, streaming, and software development and testing via virtual machines).  The latest addition won't have as rough a life, but I trust that we can depend on it for the long run.",recent year become big fan lenovo issue purchase hp acer dell past year decided give lenovo chance first lenovo purchase two lenovo ideapad p inch laptop dusk black laptop found bit expensive available laptop similar spec fed poor performance qualty prior brand year since purchase p laptop however wife still using one last remaining acer v touch purchase little month ago could longer stand use replaced via squaretrade maybe month earlier freezing barely responsive time jumped amazon find new laptop stumbled across one one sale short time lenovo performed admirably super responsive fairly lightweight compared laptop including acer v touch provides strong spec showing price point retailing amazon around sale price around however think primeday got great deal considering spec intel u gh gb ram tb harddrive optical dvd rw drive hd led display high speed c usb port hdmi window played around wife away impressive wish would picked second one price know lenovo laptop operated perfectly even year old p still perform new one heavily used business streaming software development testing via virtual machine latest addition rough life trust depend long run,"08 23, 2016",A281YNUJLGXDXO,J Ponder,{'Style:': ' Laptop Only'},Haven't gone wrong with Lenovo!,1471910400,True,3.0,1
1910,8359,502282,502282,B00MLXA1J4,,4.0,"this is one of the better external optical drives I have come across. It functions well and consistently, for the most part. The reason I knock off a star is due to its slow read/write speed and occasional malfunction while reading disks, requiring me to restart the player.",one better external optical drive come across function well consistently part reason knock star due slow read write speed occasional malfunction reading disk requiring restart player,"05 20, 2015",AJNWZ7AUZH5DO,Afnan R.,{'Color:': ' Black'},Decent CD/DVD player,1432080000,True,,1
2797,9912,148627,148627,B001VDLZIG,,2.0,Purchased this with a Canon T6I. Does not have the piece to use on the T6.,purchased canon piece use,"01 21, 2016",A3DR0QXZFIW469,Chad Willis,,Missing part,1453334400,True,,0
135,2768,655894,655894,B01C5TG4YO,,5.0,"This telescope is typical of Meade Instruments, well made and an excellent value!!!",telescope typical meade instrument well made excellent value,"03 5, 2017",A1ESSEEEUNYMIK,German George,{'Size:': ' 82mm Telescope'},Well Made!!!,1488672000,True,4.0,1
182,3084,432011,432011,B00GXKTEUI,,5.0,Excellent.,excellent,"04 22, 2015",A2EWO2D1F1PQXF,Steven Bikkie,"{'Style:': "" Camera Only (131'/ 40m Waterproof Housing)""}",Great camera.,1429660800,True,,1
1514,4360,762893,762893,B015OAIV4C,,5.0,Great quality!,great quality,"08 24, 2018",A34XIG5AR7ZPR8,Vito Korleone,,Five Stars,1535068800,True,,1
3025,3718,513538,513538,B00NKYYMAW,,5.0,My 60 inch TV is looking lovely on my bedroom wall. My husband and I installed the wall mount in 30 minutes.,inch tv looking lovely bedroom wall husband installed wall mount minute,"03 5, 2018",A30CB3JKPG3M8R,llewis,{'Color:': ' UP to 600 VESA TV Wall Mount'},Easy to install,1520208000,True,,1
344,7806,57016,57016,B000JLO31C,,5.0,Outstanding product for colorimeter calibration QC.,outstanding product colorimeter calibration qc,"07 17, 2017",A2FNI0M1UBP81J,James B,{'Style:': ' ColorChecker Classic'},Outstanding product.,1500249600,True,,1
2693,2313,223966,223966,B004XQWGHW,,5.0,nice idea,nice idea,"08 27, 2014",A3ZL2HIHYTMWC,Val,,Five Stars,1409097600,False,,1
1931,1960,90694,90694,B0015BYQJE,,5.0,"I'm at a loss reading some of the mediocre reviews. I picked up a pair of the Logitech LS11's mainly to have a pair of typical ""cheap computer speaker"" monitors in the recording studio for checking mix playback. The sub-bass performance on these little gems is surprising, the overall mix balance is flattering, and I can crank them up about to about ~83 dBSPL (about 1/3) before hearing distortion kick in. Maybe it's because I'm driving these speakers from pro rack gear, but I'd buy these again in a second.",loss reading mediocre review picked pair logitech l mainly pair typical cheap computer speaker monitor recording studio checking mix playback sub bass performance little gem surprising overall mix balance flattering crank dbspl hearing distortion kick maybe driving speaker pro rack gear buy second,"03 25, 2009",A113DGKW0JQ64J,D. Hodgson,,"Terrific ""computer speaker"" reference for recording studio",1237939200,False,76,1
1836,8795,304692,304692,B008D6YZXG,,4.0,"I love this product! It works perfectly. The only con could possibly be the intensity of the LED indicator (very bright). But I did not purchase for the light. It's technical capabilities ( when you wire according to your viewing priority, is impressive.",love product work perfectly con could possibly intensity led indicator bright purchase light technical capability wire according viewing priority impressive,"10 10, 2014",A3R5RTWH441AJP,HEz2,{'Color:': ' Black'},I love this product,1412899200,True,,1
2473,8551,201461,201461,B004AZ38Z0,,5.0,"title says it all, but I'll say a little more. Good size on these and good grasping power. A little concerned about the cancer warning on the sticker that's on these, though. Not exactly sure what is potentially carcinogenic about these.",title say say little good size good grasping power little concerned cancer warning sticker though exactly sure potentially carcinogenic,"01 10, 2014",A1798NDDG99BM8,behrangd,,"Great clips, dirt cheap",1389312000,True,,1
2484,7473,438712,438712,B00HLRTH2C,,2.0,"It works sometimes by holding down the option key at boot, but that's no fun.

If you don't mind using it for a non-boot drive, you get a nice fast ssd drive.",work sometimes holding option key boot fun mind using non boot drive get nice fast ssd drive,"03 21, 2014",A3QBYS6X6R03KL,mike892,,"NOT bootable with mac pro early 2008  (macpro3,1)",1395360000,True,2,0
1956,1552,535253,535253,B00QDJ2FUK,,5.0,Highly recommend. works well and not one single issue since day one!,highly recommend work well one single issue since day one,"03 21, 2015",A6OR9E5G2C6JM,Peanut Santiago,,Five Stars,1426896000,True,,1
2546,1942,183092,183092,B003MWH48E,,5.0,"Great sound, saves a lot of space. It retracts great as long as you're not retarded, My little brother just broke mine.",great sound save lot space retracts great long retarded little brother broke mine,"04 24, 2014",A1M991VMFWPV1A,alex,{'Color:': ' White'},Good size,1398297600,True,,1
1516,4165,690880,690880,B000FSTKO4,,5.0,"It works as advertised.  I use this cord for a long USB run to a printer, and have never had any problems with it.",work advertised use cord long usb run printer never problem,"11 14, 2013",A1HU9DPFG1VLMB,Amazon Customer,,Works as Advertised,1384387200,True,,1
1903,5226,51349,51349,B000H2W270,,4.0,"I had need of a new CB antenna.  After checking reviews and looking for the right price I settled on K40 K-30 35"" 300 Watts Stainless Steel Magnet Mount CB Antenna.  I use it on the rear deck of a 2004 Merc Grand Marquis.  Out of the box the VSWR is less than 1.7 across the band and that's ""good enough"".  I recommend this antenna for everyone.",need new cb antenna checking review looking right price settled k k watt stainless steel magnet mount cb antenna use rear deck merc grand marquis box vswr le across band good enough recommend antenna everyone,"05 4, 2013",A4SAFVS0GB08N,Lima OH,,Just what the doctor ordered,1367625600,True,,1
1870,7877,137919,137919,B001MSS6CS,,5.0,"Works great ! No drivers needs, but you need to tell the operating system to use the new usb device for input and output of sound. This does not occur automatically. Connect the usb stereo sound adapter to usb port in computer. Go to system Preferences and select Sound from Hardware options. Select the Output tab; then scroll and select C-Media USB Audio Device. Do the same for sound Input under the Input tab. My OS X version is 10.8.5, but should be the same steps for OS X Mavericks.",work great driver need need tell operating system use new usb device input output sound occur automatically connect usb stereo sound adapter usb port computer go system preference select sound hardware option select output tab scroll select c medium usb audio device sound input input tab o x version step o x maverick,"09 10, 2014",A3LQZ5FGMN3187,Rocketman,{'Color:': ' Black'},MAC Os install Steps,1410307200,True,,1
907,3088,485289,485289,B00HXT8436,,3.0,"The camera has great picture quality and the ability to add MicroSD card is a great feature.  However the mounting options leave something to be desired as the included (and only available) mount is made for resting on a flat surface.  You can certainly drill it into a wall but that requires modifying the stand, not using a factory supplied method.

The unit I received also failed to connect properly to the AirVision2 software and suffered a failure when AV2 tried to update the firmware.  I managed to revive it by manually flashing it, however it would then disconnect from the DVR server constantly.  I returned it and have not purchased a replacement.",camera great picture quality ability add microsd card great feature however mounting option leave something desired included available mount made resting flat surface certainly drill wall requires modifying stand using factory supplied method unit received also failed connect properly airvision software suffered failure av tried update firmware managed revive manually flashing however would disconnect dvr server constantly returned purchased replacement,"01 29, 2014",A2WKGZ1MLWXTXY,Mike F.,,Under Whelming,1390953600,True,,0
2981,7656,722420,722420,B0094R2H0Q,,5.0,"These have worked great for over a year in a gym bag and I'm rough on headphones.

Have added superglue to keep rubber ear buds on as they do come off somewhat easily.",worked great year gym bag rough headphone added superglue keep rubber ear bud come somewhat easily,"01 31, 2018",AK1OFLK1WSG7J,Scott B.,{'Product Packaging:': ' Standard Packaging'},"Great, sturdy headphones with good mic (iphone 6)",1517356800,True,,1
1411,1286,319229,319229,B0098PJGL2,,5.0,This is form my Camcorder I can watch them on TV now that I have this cable so works great.,form camcorder watch tv cable work great,"03 11, 2014",A12GIOKE26ZFKJ,Cutie,,Works Great,1394496000,True,,1
448,1237,453526,453526,B00IJZJKK4,,5.0,"This was a great purchase, it works like a charm.",great purchase work like charm,"01 15, 2016",A1X7D6BF3JZL6O,Beaser01,,Five Stars,1452816000,True,,1
1755,10143,762376,762376,B01569AI38,,5.0,Love the matte finish,love matte finish,"06 7, 2017",A1HSL14GRPJYH3,Amazon Customer,,Five Stars,1496793600,True,,1
353,9604,311065,311065,B008YDTRI6,,5.0,"I take these everywhere now.  They are extremely light, sound fantastic, and rest comfortably around the back of my ear without falling off.",take everywhere extremely light sound fantastic rest comfortably around back ear without falling,"08 24, 2015",A2NKAVW0ITVAJN,Shaun &amp;amp; Debra,"{'Color:': ' Orange', 'Style:': ' Wired'}","sound fantastic, and rest comfortably around the back of my ...",1440374400,True,,1
175,9264,467924,467924,B00JOVW22A,,5.0,Works great with my smartphone and Pandora,work great smartphone pandora,"08 22, 2015",A2J3C93GFHRHMG,Team GeoSurf,,Five Stars,1440201600,True,,1
667,4258,538387,538387,B00QTGXYIE,,5.0,"Factory quality. Monitor is clear and sharp. Easy to install, The video cable needs to be longer for a crew cab truck. Had to buy a 12"" extension at Walmart.",factory quality monitor clear sharp easy install video cable need longer crew cab truck buy extension walmart,"09 22, 2015",A19DZLD031K5T4,Amazon Customer,,Easy to install,1442880000,True,,1
2463,4222,404288,404288,B00EO8L5TE,,5.0,Great (5-STAR),great star,"09 10, 2014",A224Y38N2A4P42,john,,Five Stars,1410307200,True,,1
415,2144,452195,452195,B00IF70T4M,,4.0,Works great. A must buy,work great must buy,"09 9, 2015",A180CQEOGZ76EU,d,,Four Stars,1441756800,True,,1
2081,6930,143371,143371,B001RY5U94,,4.0,"I love listening to crazy fast music while running. This fits nicely around my arm and holds it nicely in place.
Warning: If you sweat a lot (enough to drench a shirt) you will likely damage you iPod. I don't have this problem, at the worst my iPod gets a little damp. For the lack of water proofing this gets a 4/5. It's still good though because its much cheaper than a water proof one.",love listening crazy fast music running fit nicely around arm hold nicely place warning sweat lot enough drench shirt likely damage ipod problem worst ipod get little damp lack water proofing get still good though much cheaper water proof one,"09 7, 2013",A3Q3D5YLUTD2P7,Shinigami44,,Run run run fast,1378512000,True,,1
1636,1120,104573,104573,B00111Y292,,4.0,"Simple, functional. Easy bayonet mount.  Good purchase.",simple functional easy bayonet mount good purchase,"09 10, 2014",A3T86I4ZGGIX3C,Kevin Hayward,,Easy bayonet mount,1410307200,True,,1
250,1817,168699,168699,B002UT42UI,,5.0,"I just received this as a gift for Christmas.  I wasn't sure about buying it for myself, as I have plenty of 16GB Class 10 cards, but I was missing out!  I use a Canon T3i camera and I do a lot of shooting but not every day.  I've taken about 4000 pictures in the last 10 months and I'm a member at Shutterfly.

I was able to get this working as I wanted it to after about 10 minutes of setup.  I'm not big on directions, and I didn't really need them.  I did look up the Relay Transfer function in the help though.

Stuff I like about this product
- Easy setup
- No need for cables to transfer pictures
- My wife can now upload pictures to shutterfly without me telling her she's doing it wrong :)
- My pictures are organized automatically by shooting date without the need for the clunky canon software to do it.

Stuff I don't like about this product
- Most settings have to be changed from the PC, with the card connected.  I can't make changes to it from my camera's screen.
- SD card dongle is rather large, would be better to use a corded USB design or ship with a USB cord to attach to it.

Overall, excellent product.  I like knowing that I can back up pictures from virtually anywhere, any time.  An example of how this is great, picture yourself on a honeymoon.  You've taken 400-1000 pictures in a couple of days. Your eye-fi card is relaying these pictures to your home computer every chance it can.  Your camera gets stolen/lost/dropped in water/falls into volcano/falls out of hot air balloon/etc.  It is unfortunate that you have to get a new camera, but you didn't lose many (if any) pictures.  If you have a smart phone that can act as a wifi hotspot you can literally shoot pictures and upload them live.

Don't wait for someone to get this for you.  Buy it.  Buy it.  Buy it.",received gift christmas sure buying plenty gb class card missing use canon camera lot shooting every day taken picture last month member shutterfly able get working wanted minute setup big direction really need look relay transfer function help though stuff like product easy setup need cable transfer picture wife upload picture shutterfly without telling wrong picture organized automatically shooting date without need clunky canon software stuff like product setting changed pc card connected make change camera screen sd card dongle rather large would better use corded usb design ship usb cord attach overall excellent product like knowing back picture virtually anywhere time example great picture honeymoon taken picture couple day eye fi card relaying picture home computer every chance camera get stolen lost dropped water fall volcano fall hot air balloon etc unfortunate get new camera lose many picture smart phone act wifi hotspot literally shoot picture upload live wait someone get buy buy buy,"12 27, 2012",A3RU0F2H9AVT4F,Used Crayons,"{'Package Type:': ' Standard Packaging', 'Style:': ' PRO'}",I'm never connecting my camera to my computer again!!!,1356566400,False,,1
2259,3350,361979,361979,B00BV31QU8,,5.0,"High quality, lightweight case, with 2 surprisingly quiet 120mm blue led fans included.  Fantastic for such a low price point, and attractive design, although that's kinda subjective, but I like it a lot.  Really fantastic airflow and OK filtering, though I am coming from a 10 year old Apevia case, so yeah...  Cable management was effective as well, with plenty of room to tuck psu connections and whatnot behind the backplane. Solid feel to the power and reset switches, usb 3.0, 2.0, 3.5mm audio I/O ports all tight and right. The only thing I would have liked to be changed is the breakaway pci ports, but I understand the cost saving accomplished my the mfr. on this. It just makes it difficult to neatly reconfigure card layouts in the future, without having gaps in the rear of the pc. A little epoxy and black detail paint should remedy this issue should I radically alter my rig in the future, though. 5/5",high quality lightweight case surprisingly quiet mm blue led fan included fantastic low price point attractive design although kinda subjective like lot really fantastic airflow ok filtering though coming year old apevia case yeah cable management effective well plenty room tuck psu connection whatnot behind backplane solid feel power reset switch usb mm audio port tight right thing would liked changed breakaway pci port understand cost saving accomplished mfr make difficult neatly reconfigure card layout future without gap rear pc little epoxy black detail paint remedy issue radically alter rig future though,"02 11, 2017",A3HD18U6NLOXVT,David Julian,{'Style:': ' NAUTILUS'},"Great Value, Attractive, Functional.",1486771200,True,,1
1486,1994,112606,112606,B0015ACUKC,,5.0,"*I am sad so many people are having problems with the SkipDr. This little machine has saved me so much money.
*SkipDr. has a machine for Wii games however, I have used this same machine for our Wii disc.

Bad review issues- Stopping and Slowing down-
**Stopping
There may not be enough mist applied. The spray mist provided provides lubrication between the wheel and disc.
Check the repair wheel, the blue fan looking part. After exhausting all other conceivable issues, I took the repair wheel after and re-installed it. It worked perfectly. If the wheel isn't secure in place or if it has defects such as being slightly warped, it will stop to prevent disc damage.
**Slowing
Again, check the amount of fluid applied.
Remove disc and put it back in. 9 out of 10 times the disc was pushed all the down. Wanting to be gentle with the disc, I was not applying enough pressure when pushing down.
Sometimes I would just nudge the disc slightly and it would start moving on it's own.

My SkipDr came with an adapter. Knowing now how well it works, I would have no problem purchasing a power cord. Look at watts/volts/amps, you may already have one you can borrow from another appliance.
I would not recommend batteries. No more than a person would use it, I see that as a waste of money.

*I submitted before and after photos. Amazon posted the ""after"" photo. Kind-of hard to see a difference with no ""before""!",sad many people problem skipdr little machine saved much money skipdr machine wii game however used machine wii disc bad review issue stopping slowing stopping may enough mist applied spray mist provided provides lubrication wheel disc check repair wheel blue fan looking part exhausting conceivable issue took repair wheel installed worked perfectly wheel secure place defect slightly warped stop prevent disc damage slowing check amount fluid applied remove disc put back time disc pushed wanting gentle disc applying enough pressure pushing sometimes would nudge disc slightly would start moving skipdr came adapter knowing well work would problem purchasing power cord look watt volt amp may already one borrow another appliance would recommend battery person would use see waste money submitted photo amazon posted photo kind hard see difference,"02 4, 2015",A1FIA3GCTV8U3J,Thick Southern Accent,{'Style:': ' Motorized'},Works Perfectly!,1423008000,False,,1
1138,2449,697749,697749,B0018NEQFI,,5.0,Arrived on time and was easy to assemble.,arrived time easy assemble,"04 20, 2017",A27WSQAUIGE1TD,William D Sullivan,,Five Stars,1492646400,True,,1
2708,5515,52119,52119,B000HGMX5M,,5.0,"I bought this camera for my family's special Disney World vacation and took about 1,300 pictures with it over an eight days period and was utterly stunned by the results.  It was really easy to use, performance was lightning quick and the zoom lens on digital SLR feels so natural.  I can take pictures pretty much as fast as I can press the shutter which is really great.  I shot mostly in Auto or Potrait mode and the picture quality especially of potraits were breath-taking.  People's skin and complexion were exceptionally sharp, soft and natural looking not washed out like my other point-and-shoot camera.  And I absolutely love the wide angle composition that I was able to get from my 18-70mm lens so I get the people and the landscape at the same time.

It's a significant premium over my Canon Powershot S3 point-and-shoot camera but well worth it.  I am starting to learn to use it's more advance feature for creative photography and loving it even more.",bought camera family special disney world vacation took picture eight day period utterly stunned result really easy use performance lightning quick zoom lens digital slr feel natural take picture pretty much fast press shutter really great shot mostly auto potrait mode picture quality especially potraits breath taking people skin complexion exceptionally sharp soft natural looking washed like point shoot camera absolutely love wide angle composition able get mm lens get people landscape time significant premium canon powershot point shoot camera well worth starting learn use advance feature creative photography loving even,"04 18, 2007",A1M6Z0NSZJB8AM,Kunthea Prum,{'Style:': ' D80 Body Only'},Best Digital SLR in its Class,1176854400,False,13,1
300,5644,697522,697522,B001799F68,,5.0,as described and shipped quickly.,described shipped quickly,"03 23, 2015",A15KR2ND4N40C,Kirt,,Five Stars,1427068800,True,,1
