Unnamed: 0.1,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
1725,3.0,True,"08 17, 2017",A2Y2IKO63FNHQE,B0092UF54A,"{'Size:': ' 10 B(M) US', 'Color:': ' Black/Hyper Violet/Total Crimson/White'}",Sandie,I returned them...found a Ryka pair I liked better,found a Ryka pair I liked,1502928000,,
643,3.0,True,"08 2, 2017",A38X15IJFAPHZP,B0058YEJ5K,"{'Size:': ' 5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Anonymous,"Bought these shoes with HIIT in mind, but not too sure how I like the fit on my foot. First time to wear them, not great for running. Maybe after they're broken in a little they'll get better. If you just need a comfortable pair of shoes for walking, they're fine.",OK,1501632000,,
3111,4.0,True,"04 19, 2016",A3UMNRR89DIZRM,B014IBJKNO,"{'Size:': ' 7 M US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Customer,Good light weight shoe...had to add insole for more support.,Four Stars,1461024000,2.0,
3066,5.0,True,"08 29, 2016",A11JLWK8H96AU,B014IBJKNO,"{'Size:': ' 9.5 M US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Customer,Love them !!!,Five Stars,1472428800,,
975,5.0,True,"09 13, 2017",AVZB7UFLT6VD,B0014F7B98,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Plure Platinum/Blue Glow/Wolf Grey'}",Robbin,"Great shoe, very comfortable",Five Stars,1505260800,,
1861,1.0,True,"01 4, 2017",A199ICSPL9EXJ5,B0092UF54A,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Black/Wolf Grey/White/Pink'}",KaDecha Richardson,"Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!",I ordered the Nike Women's Flex Supreme TR3 instead and love them!,1483488000,,
979,5.0,True,"09 4, 2017",A1NTI9B7VY30JM,B0014F7B98,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",lezanaz,Love the fit,Five Stars,1504483200,,
3040,4.0,True,"11 11, 2016",A2RI4IA5982B8I,B014IBJKNO,"{'Size:': ' 9.5 M US', 'Color:': ' Cool Grey/Pure Platinum/White/Volt'}",Wejdan Turkistani,Light-weight comfy shoes.,Four Stars,1478822400,,
1340,5.0,True,"09 18, 2017",A2W3B4YHP3HZ9R,B009MA34NY,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",judy laurel,"Cute shoe, fit as expected, and very comfortable.",and very comfortable.,1505692800,,
2908,3.0,True,"06 16, 2017",A1OM5S4Z9J2JQQ,B014IBJKNO,"{'Size:': ' 9.5 M US', 'Color:': ' Black/White/Anthracite/Stealth'}",Hassnaa,"I got the impression it's cushiony and comfy by reading the reviews on this product, when i tried it on it was a much firmer than my other work shoes, i'm standing all day and need enough support and comfort, this isn't the right product for that.
So i had to return it, but i would assume it would work fine for training.

It looks decent and clean. and seems sturdy.  just not the right thing for me.
I was refunded instantly upon returning so.. credit for that.",Just wasn't what i was looking for,1497571200,,
197,5.0,True,"02 20, 2018",A3RNGBSBRJ3YAQ,B001IKJOLW,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Wolf Grey/Black-pink Blast/White'}",Andrea L Hogan,They were a gift  to my daughter she loved them,Their Cute and Pink,1519084800,,['https://images-na.ssl-images-amazon.com/images/I/71Q1TDIUL6L._SY88.jpg']
1452,3.0,True,"03 15, 2017",A3LBTMJ453T4W6,B009MA34NY,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Cool Grey/Volt/Pure Platinum'}",MSM,"Meh, felt very comfortable but provided no support. Seem like a good option for walking around in the summer but not for aerobics or lateral movements",Meh,1489536000,2.0,
873,5.0,True,"03 6, 2016",A12AWD9L3DD93E,B0014F7B98,"{'Size:': ' 6.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Customer,I recommend that!,Five Stars,1457222400,,
2327,4.0,True,"05 4, 2016",AG8MPE8CQAPM7,B005AGO4LU,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",MerryM,"I am a recess aide and on my feet all day long. I tried these shoes on in the store before purchasing them on Amazon. They are very lightweight and comfortable. I was surprised how great they felt. I haven't had a pair of Nikes since Nike shoxs came out. They are so much more lightweight than those. I wore them an entire day the first day and had no problems. The second day; however, I got a pain in my hip to the point where I started limping. As soon as I got home and took them off, the pain was gone the rest of the evening. I'm only 30 by the way. Nothing else in my daily routine changed except wearing these shoes two days in a row. I don't understand why it would make my hip hurt since they are comfortable on my feet, but I'm sure that was the problem. I wore different shoes today and had no pain. I don't think as much as I am on my feet I will be able to wear them an extended amount of time. I will have to rotate wearing them every other day. For normal wear, I believe, people will be fine. I am literally walking or standing six hours a day straight.

**UPDATE: So, initially after wearing them, I had hip pain after wearing them. I don't know if they just needed to be broken in, but I wear them all the time now and have not experienced any pain since the first couple times of wearing them. They are comfortable, and I love them even more now.",Comfortable and lightweight,1462320000,20.0,
152,4.0,True,"04 19, 2016",A3UMNRR89DIZRM,B001IKJOLW,"{'Size:': ' 7 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Customer,Good light weight shoe...had to add insole for more support.,Four Stars,1461024000,2.0,
572,3.0,True,"01 9, 2018",A3U0BBRU2Q85LE,B0058YEJ5K,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Blue Tint/Green Glow/Hasta/White'}",Alix gray,"On the left shoe, there were two stained yellow spots.",Not in perfect condition,1515456000,,
2158,5.0,True,"04 26, 2017",A17DW041T4X7TJ,B005AGO4LU,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Anne M. Guss,Comfortable and lightweight.,Five Stars,1493164800,,
808,5.0,False,"10 24, 2016",A1TEBP1FCCJW5V,B0058YEJ5K,"{'Size:': ' 7 B(M) US', 'Color:': ' Racer Blue/Obsidian/Blue Tint'}",Amazon Customer,These shoes are great.  This is the second pair that I have purchased and I love them.,Really Comfortable Shoes,1477267200,,
857,5.0,False,"05 18, 2016",A2G9JO5SZ3GUXH,B0058YEJ5K,"{'Size:': ' 9 B(M) US', 'Color:': ' Grey'}",TJ Amber,"These run large. I wear a 9.5 exactly in every shoe, but these I bought a 9, and the toe area is pretty wide plus plenty long even with socks. Very comfy and very nice looking shoe. I love them but glad I was able to try them on before purchasing.",and the toe area is pretty wide plus plenty long even with socks,1463529600,,
1046,4.0,True,"05 2, 2017",A1SR58S4CXKU5G,B0014F7B98,"{'Size:': ' 6.5 B(M) US', 'Color:': ' White/Hyper Pink/Pure Platinum/Wolf Grey'}",Leslie Marks,"Lightweight, comfortable, supportive. Very happy I bought these shoes for working out.",Great training shoes,1493683200,,
1273,1.0,True,"03 11, 2018",A6CXK8NXD50R2,B009MA34NY,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Wolf Grey/Platinum/White/Crimson'}",MMB,They looked very cheap,Returned...looked cheap,1520726400,,
2950,5.0,True,"04 10, 2017",AWEIW3G1E0MKO,B014IBJKNO,"{'Size:': ' 9.5 M US', 'Color:': ' Cool Grey/Pure Platinum/White/Volt'}",Janie M,I love this show.,So happy.,1491782400,,
2326,4.0,True,"05 7, 2016",AVHVZJ5HB6FSK,B005AGO4LU,"{'Size:': ' 12 D(M) US', 'Color:': ' Cool Grey/Team Orange/White/Platinum'}",calacas,Nice looking and fit nice,Four Stars,1462579200,,
1692,4.0,True,"10 31, 2017",A3JPU96NVWGUF5,B0092UF54A,"{'Size:': ' 8 B(M) US', 'Color:': ' Grey'}",AnonymousBeaver,"This is a great shoe for in gym workouts. I did take a 10 mile hike and had a blister on my pinky, but other than that these are very comfortable shoes!","True to size, would recommend",1509408000,,
3003,4.0,True,"01 13, 2017",A3RP2S6J4VUA7D,B014IBJKNO,"{'Size:': ' 9.5 M US', 'Color:': ' Black/Red Bronze/White'}",Amazon Customer,The lines don't really show up unless there is a bright light on them. But other than that they are perfect. They are very true to size and are comfortable the first time you put them on.,4/5,1484265600,,
888,5.0,True,"04 9, 2018",A1TFZVGT6J5NYZ,B0014F7B98,"{'Size:': ' 7 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Sandra calleros,Gracias,Five Stars,1523232000,,
2554,5.0,True,"05 6, 2017",AI4KO5XDRKDFR,B010RRWKT4,"{'Size:': ' 9.5 W US', 'Color:': ' Cool Grey / Volt - Wolf Grey - Pure Platinum'}",Ms. Trainer,Arrived in time. Fit as exoected. They take some breaking in but I wore them 2 days in a row for more than five hours per day.,Wide sneaker for wide feet,1494028800,,
2223,1.0,True,"01 15, 2017",A8DR2Z71DERN0,B005AGO4LU,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Cool Grey/Volt/Pure Platinum'}",Dawn Rosa,After less than a week the sole ripped off on the outside of the shoe,Poor quality for Nike,1484438400,20.0,['https://images-na.ssl-images-amazon.com/images/I/816nEyCUCuL._SY88.jpg']
805,5.0,True,"10 29, 2016",A2CP5A30XO5JUO,B0058YEJ5K,"{'Size:': ' 9 B(M) US', 'Color:': ' Wolf Grey/Black-pink Blast/White'}",Aaron O.,Love them!  Very comfortable and great for weight training!,Love them! Very comfortable and great for weight training,1477699200,,
1799,5.0,True,"04 11, 2017",AT72GRKOXVE25,B0092UF54A,"{'Size:': ' 10 W US', 'Color:': ' Cool Grey / Volt - Wolf Grey - Pure Platinum'}",Cristian Sosa,just do it :),Five Stars,1491868800,,
2258,5.0,True,"11 16, 2016",AY6GA8WZR3JKV,B005AGO4LU,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Customer,EXCELLENT,Five Stars,1479254400,,
908,5.0,True,"02 28, 2018",A16BGUHQH20CIP,B0014F7B98,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Van G,"Comfortable, consistent each time I order and good looking",Sleek and sporty,1519776000,,
878,5.0,True,"04 26, 2018",AHZ8GGXF4BCNP,B0014F7B98,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Pure Platinum/Blue Glow/Wolf Grey'}",Melissa Williams,Love these shoes.. they are so comfortable.,Five Stars,1524700800,,
1157,5.0,True,"11 7, 2016",A2FCRNY9C46Q4H,B0014F7B98,"{'Size:': ' 10 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Darlene Christ,These are as far as comfort goes the most comfortable pair of sneakers I have I suffer from sciatica pain that goes into my feet I have difficulty finding the proper support and comfort in shoes I would recommend these most definitely.,These are as far as comfort goes the most comfortable pair of sneakers I have I suffer from sciatica ...,1478476800,3.0,
854,5.0,False,"05 24, 2016",A15DWAOMHKY7F2,B0058YEJ5K,,N. Barker,"This is the most comfortable shoe I've ever had. No other shoe can compare to how the individual nubs on the bottom allow your foot to be cushioned, yet work like it's suppose to. My feet feel cradled in this shoe and hard surfaces don't make my feet ache anymore.

These shoes have a small amount of support, but not much, which I like as I'm coming from vibram five fingers. (Sorry vffs, I'm bailing after 2 years of shin splints, no matter what I did).

Highly recommended for walking/running on concrete or tracks. As long as nike continues to make the flex supreme, they will get my money. Please don't change this shoe!",Time to leave the fad of the month for something that works.,1464048000,8.0,
2091,4.0,True,"08 24, 2017",A2GWLCDWM7V59I,B005AGO4LU,"{'Size:': ' 9 B(M) US', 'Color:': ' Pure Platinum/Blue Glow/Wolf Grey'}",Carol G,I have had this style before in a different color and have received many compliments on the shoes.  They are great walking shoes!  I wear orthotics and these shoes are one of the best I have found to accommodate them for fit.,Love these shoes,1503532800,,
2030,4.0,True,"01 25, 2018",ATHL3S7ZD436V,B005AGO4LU,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Joanna D,"Very good overall.
Now Ive been a huge Sketchers Go Walk fan for some time and the only reason I tried these instead of the latest number 4 of those is because the tread looked too slippery to me.
These shoes are very sturdy and the grip of the soles has been very solid so far. I use them for basic workout cardio and cross training, as well as work as a massage therapist (I go through shoes fast enough that Ive recently consolidated).
If you're a Go Walk fan, these do not offer the same level of cushion-comfort as those, HOWEVER, they offer the kind of long-term comfort to make them a durable option.
The material of the shoes seem very durable and the breathable. My feet do not feel hot in them.
Now these shoes are ideal for a basic workout or cross training, I would not get them to do 25,000 steps in Walt Disney World.
Solid choice, overall.",Good shoes,1516838400,,
2814,5.0,True,"01 10, 2018",AC5PPX3XLCZN1,B014IBJKNO,"{'Size:': ' 9.5 M US', 'Color:': ' Black/White/Anthracite/Stealth'}",Greg &amp; Kristin Hyder,Glad I read the reviews and ordered a half size too big. These are light weight. I worked out in them last night and had a great work out. They are very comfortable. I would recommend these to anyone. I am a Beach Body Coach and these are now my new favorite shoes to work out in. I feel like I am walking in slippers when I wear these shoes. They are so comfortable. I LOVE them so much. I never buy myself anything nice and for Christmas got an Amazon gift card and used it to buy myself these sneakers and they are so awesome. I really do love them and have been telling all my friends about them. GET THESE SHOES!,Glad I read the reviews and ordered a half size ...,1515542400,3.0,
285,5.0,True,"07 18, 2017",AN5PL4KUZS35E,B001IKJOLW,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Dilly Anderson,,Five Stars,1500336000,,
418,5.0,True,"12 22, 2016",AEHOCC2S72M38,B001IKJOLW,"{'Size:': ' 12 B(M) US', 'Color:': ' Cool Grey/Volt/Pure Platinum'}",Amazon Customer,This pair fits perfect.....the first pair was wrong size in the right box.....definitely order again!!!!!,Five Stars,1482364800,,
954,5.0,True,"11 2, 2017",A10X6EMVZGVX9E,B0014F7B98,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Hyper Jade/Mtlc Silver/Hyper Turq'}",vanessa nix,love them!,Five Stars,1509580800,,
71,5.0,True,"08 6, 2014",A3CNRM11BHAR1A,B0012DR1LU,,DD,Perfect color!,I love Havaianas!,1407283200,,
3005,5.0,True,"01 12, 2017",A2AXI9WHORKU6X,B014IBJKNO,"{'Size:': ' 8 M US', 'Color:': ' Black/White/Anthracite/Stealth'}",J. Spatsie,Cute and comfortable,Five Stars,1484179200,,
2909,5.0,True,"06 15, 2017",AXJZFD1IUBAE7,B014IBJKNO,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Joanna Lyn,"So comfortable, I don't even feel like I have a sneaker on. Based on the other reviews I got a half a size up and glad I did.","So comfortable, I don't even feel like I have a ...",1497484800,,
2705,3.0,True,"07 21, 2016",A3IO5BLF4EPZDR,B010RRWKT4,"{'Size:': ' 10 M US', 'Color:': ' Black/White/Anthracite/Stealth'}",Wendita,I always buy the same size this ones came to large,large shoe,1469059200,,
1785,5.0,True,"04 28, 2017",AASAT3YLO3WTB,B0092UF54A,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/Wolf Grey/White/Pink'}",Rerch,good quality,Five Stars,1493337600,,
1312,1.0,True,"11 19, 2017",A1BN6I0B2OF7WB,B009MA34NY,"{'Size:': ' 8 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",goldenhikergirl,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,TOO NARROW!,1511049600,,
422,5.0,True,"12 12, 2016",A37OEAOYVLKYC,B001IKJOLW,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Lisa (Hartford CT),"I actually have 3 pairs of these trainers.  They are very comfortable, there is a neoprene sleeve that goes around your ankle that makes them the most comfortable for me compared to normal athletic shoes.  They run a little narrow - for me this is perfect, but you may want to round up on the size or try on in the store first if your feet are on the wider side.",Great,1481500800,3.0,
2756,5.0,True,"06 16, 2018",A135SGOQMVWABQ,B014IBJKNO,"{'Size:': ' 9 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Susan,"I wear these everyday to work, the gym, etc.",Five Stars,1529107200,,
1335,5.0,True,"09 27, 2017",A2JCYVQLKWULGM,B009MA34NY,"{'Size:': ' 9 B(M) US', 'Color:': ' Black'}",Manda Lynn,Super comfy!,Five Stars,1506470400,,
727,3.0,True,"03 17, 2017",A1ZR8LQHUOUFJP,B0058YEJ5K,"{'Size:': ' 10 B(M) US', 'Color:': ' Wolf Grey/Platinum/White/Crimson'}",Mammot,"Fit is fine, but not much cushioning in the footbed. The first time wearing them on a long walk I developed a blister on the bottom of my foot.",Not my favorites...,1489708800,,
1647,5.0,True,"02 27, 2018",A3O3KF45YVTOGY,B0092UF54A,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Customer,I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase,I love the shoes and the description and photos were accurate,1519689600,,
1678,4.0,True,"11 28, 2017",A22WH1BPQH7XJD,B0092UF54A,"{'Size:': ' 10 B(M) US', 'Color:': ' Cool Grey/Pure Platinum/White/Volt'}",Priscilla Wallace ,My New Gym shoes! Love them,Love,1511827200,,
2837,2.0,True,"11 5, 2017",A3M69Q5SNV7U0X,B014IBJKNO,"{'Size:': ' 7 M US', 'Color:': ' Black/Green Glow-blue Glow-white'}",Amazon Customer,"I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot.","Zumba) - and really wanted to like them, since I loved the color and the ...",1509840000,6.0,
1780,5.0,True,"05 5, 2017",A24DSR6Y3A08QM,B0092UF54A,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Cool Grey/Volt-pure Platinum'}",Luiza A.,I've been using these to exercise and they are nice a roomy and allow my feet to breath. Also love the colors.,I've been using these to exercise and they are nice a roomy and allow my feet to breath,1493942400,,
1276,5.0,True,"02 28, 2018",A16BGUHQH20CIP,B009MA34NY,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Van G,"Comfortable, consistent each time I order and good looking",Sleek and sporty,1519776000,,
1103,4.0,True,"02 8, 2017",ABWHIDHK8JSRD,B0014F7B98,"{'Size:': ' 8 B(M) US', 'Color:': ' White/Hyper Pink/Pure Platinum/Wolf Grey'}",ddsmith8,"I was wearing running shoes for cardio dance classes at the gym because I thought they would be sufficient. After getting 2 blood blisters I did some research and found out cross trainers would be more appropriate which is how I ended up buying this pair. They are slightly longer in look then I  would like but I think that is typical of cross trainers. Also, the lacing is done in a way that allows you to tie too tightly if you're not careful (my toes were tingling during one particular work out when I had done this). Other then that I am very happy with the shoes.",They are slightly longer in look then I was would like but I think that is typical of cross trainers,1486512000,4.0,
231,4.0,True,"11 7, 2017",A3PZ1TJ71WPLXV,B001IKJOLW,"{'Size:': ' 9 B(M) US', 'Color:': ' Wolf Grey/Black-pink Blast/White'}",Mellany Upshaw,Nice fit,Four Stars,1510012800,,
1517,4.0,False,"11 21, 2016",AUDAQGK21DH1Z,B009MA34NY,"{'Size:': ' 6.5 B(M) US', 'Color:': ' Cool Grey/Rage Green/Hyper Turquoise'}",Yusra,"i bought a pair from DSW for 50$ and they are very comfortable but i bought a size 6.5 when I normally where a size 7.  and even the 6.5 feels a little roomy.  I have wide flat feet btw.  im not sure if I will keep them even though i love their look and comfort.  I've been having feet problems while taking a gym class and I think they won't give me enough support when running.  they're great for wearing at home or gym and doing exercises in one place- extremely light weight and flexible, but i don't know if they'll last long if you use them everywhere else.  :(  i really like them but i cant just buy 2 different shoes.
also, i really like the strings inside the lining on the side of the shoes to adjust and make the shoe fit snug. it makes me feel secure :D",very comfortable but limited use,1479686400,,
1696,5.0,True,"10 25, 2017",AF70T61UO8MCD,B0092UF54A,"{'Size:': ' 8.5 B(M) US', 'Color:': ' White/Metallic Silver/Black'}",Deb Lyon,Great shoes,Five Stars,1508889600,,
986,5.0,True,"08 21, 2017",A2R0RL0TF6E9VC,B0014F7B98,"{'Size:': ' 10 B(M) US', 'Color:': ' Hyper Jade/Mtlc Silver/Hyper Turq'}",SadDad,Great! Super comfy and cute! No issues and fit perfect!,perfect,1503273600,,
213,5.0,True,"12 29, 2017",A2GBBOXDACUA6,B001IKJOLW,"{'Size:': ' 8.5 D - Wide', 'Color:': ' Cool Grey / Volt - Wolf Grey - Pure Platinum'}",Amazon Customer,"My wife loves these shoes. We have both been wearing sketchers and new balance for several years and recently we have both purchased Nike. There is a reason why Nike is still number 1 after all these years, you just cant beat their comfort.",My wife loves these shoes. We have both been ...,1514505600,,
1903,5.0,True,"10 17, 2016",A3GJ2XW7W3VC5L,B0092UF54A,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Cool Grey/Pure Platinum/White/Volt'}",Meredith P,Fit like a dream! Great for cross-training/HITT videos I do everyday. Great for walking too. Look amazing!,Great sneakers!,1476662400,5.0,
813,4.0,True,"10 11, 2016",A2QVLSH9P0BFA6,B0058YEJ5K,"{'Size:': ' 8 B(M) US', 'Color:': ' White/Hyper Pink/Pure Platinum/Wolf Grey'}",KayH,"I bought these sneakers for boot camp class.  They are very light weight and different than other sneakers that I have owned.  Have only used them a few times, but like them so far.",but like them so far,1476144000,,
3170,5.0,True,"07 4, 2018",A1DHIMM5SZGIIL,B005AGO4LU,"{'Size:': ' 8 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Ang,I absolutely LOVE these shoes. These are my absolute favorite. So light and comfortable. These are actually my 2nd pair. I am still wearing my 1st pair after 2 years and they look good still. I am just afraid they are going to disappear and I want a back up pair for when my 1st pair wears out. These have been the best shoes I've owned!,I absolutely LOVE these shoes,1530662400,,
837,5.0,False,"07 22, 2016",AK1X6JAJ2L389,B0058YEJ5K,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Wolf Grey/Platinum/White/Crimson'}",S. Vanhoose,"I bought a wide size of these at a local store and they are amazing!  Soft, comfy, with moderate support.  Not a cloud to walk on, but not minimalist.  The wide size is perfect for my wide feet with high arches.  The shoe tends to run about a half size long though, especially for Nike.  I am working on getting in shape, and these shoes feel good all day... No rubbing on my big toe joint or pinkie toe or heel.  Very pleased.",Great shoes,1469145600,,
2366,2.0,True,"03 28, 2016",A2GJUMX0CRHLIN,B010RRWKT4,"{'Size:': ' 13 M US', 'Color:': ' Cool Grey/Team Orange/White/Metallic Platinum'}",Amazon Customer,"These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",Cheap,1459123200,,
1059,5.0,True,"04 15, 2017",AKJVCU7H1KDWI,B0014F7B98,"{'Size:': ' 6 B(M) US', 'Color:': ' black'}",madison,I have been wearing for a solid week during my work outs & they are great for comfort and they are light weight.,Love these shoes,1492214400,,
1124,1.0,True,"01 4, 2017",A199ICSPL9EXJ5,B0014F7B98,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Black/Wolf Grey/White/Pink'}",KaDecha Richardson,"Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!",I ordered the Nike Women's Flex Supreme TR3 instead and love them!,1483488000,,
86,3.0,True,"12 14, 2012",A12DWXDNZQTKXQ,B0017LGD34,,TDL Chicago,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,1355443200,,
363,5.0,True,"03 18, 2017",A25SOIZ0IZE1YY,B001IKJOLW,"{'Size:': ' 8 B(M) US', 'Color:': ' Racer Blue/Obsidian/Blue Tint'}",vp22,I have gotten so many compliments on the blue color and look of this shoe.  It is super comfortable.  The grip is wonderful for my indoor gym cross training classes.  I always order a half size larger in Nike brand shoes and thy fit perfectly as I did with this shoe.,Love These Shoes!,1489795200,8.0,
3082,5.0,True,"07 13, 2016",A2GXUQFUWMZ2FH,B014IBJKNO,"{'Size:': ' 9 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",carlcalico,Love these shoes. My feet have been weird since I was pregnant and my old shoes were uncomfortable. These are very comfy and help me get active. They are also stylish and go with anything.,Love Love Love,1468368000,,
