,Unnamed: 0.1,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,reviewTextClean,length,predictedSentiment,predictedSentimentConfidence
12,3111,4.0,True,"04 19, 2016",A3UMNRR89DIZRM,B014IBJKNO,"{'Size:': ' 7 M US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Customer,Good light weight shoe...had to add insole for more support.,Four Stars,1461024000,2.0,,good light weight shoe add insole support,60,1,1.0
13,3066,5.0,True,"08 29, 2016",A11JLWK8H96AU,B014IBJKNO,"{'Size:': ' 9.5 M US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Customer,Love them !!!,Five Stars,1472428800,,,love,13,1,1.0
14,975,5.0,True,"09 13, 2017",AVZB7UFLT6VD,B0014F7B98,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Plure Platinum/Blue Glow/Wolf Grey'}",Robbin,"Great shoe, very comfortable",Five Stars,1505260800,,,great shoe comfortable,28,1,1.0
15,1861,1.0,True,"01 4, 2017",A199ICSPL9EXJ5,B0092UF54A,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Black/Wolf Grey/White/Pink'}",KaDecha Richardson,"Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!",I ordered the Nike Women's Flex Supreme TR3 instead and love them!,1483488000,,,returning picture make shoe appear black touch pink check however whole shoe pink coming looking black shoe ordered nike woman flex supreme tr instead love,258,0,1.0
16,979,5.0,True,"09 4, 2017",A1NTI9B7VY30JM,B0014F7B98,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",lezanaz,Love the fit,Five Stars,1504483200,,,love fit,12,1,1.0
17,3040,4.0,True,"11 11, 2016",A2RI4IA5982B8I,B014IBJKNO,"{'Size:': ' 9.5 M US', 'Color:': ' Cool Grey/Pure Platinum/White/Volt'}",Wejdan Turkistani,Light-weight comfy shoes.,Four Stars,1478822400,,,light weight comfy shoe,25,1,1.0
18,1340,5.0,True,"09 18, 2017",A2W3B4YHP3HZ9R,B009MA34NY,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",judy laurel,"Cute shoe, fit as expected, and very comfortable.",and very comfortable.,1505692800,,,cute shoe fit expected comfortable,49,1,1.0
19,2908,3.0,True,"06 16, 2017",A1OM5S4Z9J2JQQ,B014IBJKNO,"{'Size:': ' 9.5 M US', 'Color:': ' Black/White/Anthracite/Stealth'}",Hassnaa,"I got the impression it's cushiony and comfy by reading the reviews on this product, when i tried it on it was a much firmer than my other work shoes, i'm standing all day and need enough support and comfort, this isn't the right product for that.
So i had to return it, but i would assume it would work fine for training.

It looks decent and clean. and seems sturdy.  just not the right thing for me.
I was refunded instantly upon returning so.. credit for that.",Just wasn't what i was looking for,1497571200,,,got impression cushiony comfy reading review product tried much firmer work shoe standing day need enough support comfort right product return would assume would work fine training look decent clean seems sturdy right thing refunded instantly upon returning credit,464,0,1.0
20,197,5.0,True,"02 20, 2018",A3RNGBSBRJ3YAQ,B001IKJOLW,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Wolf Grey/Black-pink Blast/White'}",Andrea L Hogan,They were a gift  to my daughter she loved them,Their Cute and Pink,1519084800,,['https://images-na.ssl-images-amazon.com/images/I/71Q1TDIUL6L._SY88.jpg'],gift daughter loved,47,1,1.0
21,1452,3.0,True,"03 15, 2017",A3LBTMJ453T4W6,B009MA34NY,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Cool Grey/Volt/Pure Platinum'}",MSM,"Meh, felt very comfortable but provided no support. Seem like a good option for walking around in the summer but not for aerobics or lateral movements",Meh,1489536000,2.0,,meh felt comfortable provided support seem like good option walking around summer aerobics lateral movement,150,1,0.25
22,873,5.0,True,"03 6, 2016",A12AWD9L3DD93E,B0014F7B98,"{'Size:': ' 6.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Customer,I recommend that!,Five Stars,1457222400,,,recommend,17,1,1.0
23,2327,4.0,True,"05 4, 2016",AG8MPE8CQAPM7,B005AGO4LU,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",MerryM,"I am a recess aide and on my feet all day long. I tried these shoes on in the store before purchasing them on Amazon. They are very lightweight and comfortable. I was surprised how great they felt. I haven't had a pair of Nikes since Nike shoxs came out. They are so much more lightweight than those. I wore them an entire day the first day and had no problems. The second day; however, I got a pain in my hip to the point where I started limping. As soon as I got home and took them off, the pain was gone the rest of the evening. I'm only 30 by the way. Nothing else in my daily routine changed except wearing these shoes two days in a row. I don't understand why it would make my hip hurt since they are comfortable on my feet, but I'm sure that was the problem. I wore different shoes today and had no pain. I don't think as much as I am on my feet I will be able to wear them an extended amount of time. I will have to rotate wearing them every other day. For normal wear, I believe, people will be fine. I am literally walking or standing six hours a day straight.

**UPDATE: So, initially after wearing them, I had hip pain after wearing them. I don't know if they just needed to be broken in, but I wear them all the time now and have not experienced any pain since the first couple times of wearing them. They are comfortable, and I love them even more now.",Comfortable and lightweight,1462320000,20.0,,recess aide foot day long tried shoe store purchasing amazon lightweight comfortable surprised great felt pair nike since nike shoxs came much lightweight wore entire day first day problem second day however got pain hip point started limping soon got home took pain gone rest evening way nothing else daily routine changed except wearing shoe two day row understand would make hip hurt since comfortable foot sure problem wore different shoe today pain think much foot able wear extended amount time rotate wearing every day normal wear believe people fine literally walking standing six hour day straight update initially wearing hip pain wearing know needed broken wear time experienced pain since first couple time wearing comfortable love even,1366,0,1.0
24,152,4.0,True,"04 19, 2016",A3UMNRR89DIZRM,B001IKJOLW,"{'Size:': ' 7 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Customer,Good light weight shoe...had to add insole for more support.,Four Stars,1461024000,2.0,,good light weight shoe add insole support,60,1,1.0
25,572,3.0,True,"01 9, 2018",A3U0BBRU2Q85LE,B0058YEJ5K,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Blue Tint/Green Glow/Hasta/White'}",Alix gray,"On the left shoe, there were two stained yellow spots.",Not in perfect condition,1515456000,,,left shoe two stained yellow spot,54,0,1.0
26,2158,5.0,True,"04 26, 2017",A17DW041T4X7TJ,B005AGO4LU,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Anne M. Guss,Comfortable and lightweight.,Five Stars,1493164800,,,comfortable lightweight,28,1,1.0
27,808,5.0,False,"10 24, 2016",A1TEBP1FCCJW5V,B0058YEJ5K,"{'Size:': ' 7 B(M) US', 'Color:': ' Racer Blue/Obsidian/Blue Tint'}",Amazon Customer,These shoes are great.  This is the second pair that I have purchased and I love them.,Really Comfortable Shoes,1477267200,,,shoe great second pair purchased love,86,1,1.0
28,857,5.0,False,"05 18, 2016",A2G9JO5SZ3GUXH,B0058YEJ5K,"{'Size:': ' 9 B(M) US', 'Color:': ' Grey'}",TJ Amber,"These run large. I wear a 9.5 exactly in every shoe, but these I bought a 9, and the toe area is pretty wide plus plenty long even with socks. Very comfy and very nice looking shoe. I love them but glad I was able to try them on before purchasing.",and the toe area is pretty wide plus plenty long even with socks,1463529600,,,run large wear exactly every shoe bought toe area pretty wide plus plenty long even sock comfy nice looking shoe love glad able try purchasing,247,1,1.0
29,1046,4.0,True,"05 2, 2017",A1SR58S4CXKU5G,B0014F7B98,"{'Size:': ' 6.5 B(M) US', 'Color:': ' White/Hyper Pink/Pure Platinum/Wolf Grey'}",Leslie Marks,"Lightweight, comfortable, supportive. Very happy I bought these shoes for working out.",Great training shoes,1493683200,,,lightweight comfortable supportive happy bought shoe working,86,1,1.0
30,1273,1.0,True,"03 11, 2018",A6CXK8NXD50R2,B009MA34NY,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Wolf Grey/Platinum/White/Crimson'}",MMB,They looked very cheap,Returned...looked cheap,1520726400,,,looked cheap,22,0,1.0
31,2950,5.0,True,"04 10, 2017",AWEIW3G1E0MKO,B014IBJKNO,"{'Size:': ' 9.5 M US', 'Color:': ' Cool Grey/Pure Platinum/White/Volt'}",Janie M,I love this show.,So happy.,1491782400,,,love show,17,1,1.0
32,2326,4.0,True,"05 7, 2016",AVHVZJ5HB6FSK,B005AGO4LU,"{'Size:': ' 12 D(M) US', 'Color:': ' Cool Grey/Team Orange/White/Platinum'}",calacas,Nice looking and fit nice,Four Stars,1462579200,,,nice looking fit nice,25,1,1.0
33,1692,4.0,True,"10 31, 2017",A3JPU96NVWGUF5,B0092UF54A,"{'Size:': ' 8 B(M) US', 'Color:': ' Grey'}",AnonymousBeaver,"This is a great shoe for in gym workouts. I did take a 10 mile hike and had a blister on my pinky, but other than that these are very comfortable shoes!","True to size, would recommend",1509408000,,,great shoe gym workout take mile hike blister pinky comfortable shoe,152,1,1.0
34,3003,4.0,True,"01 13, 2017",A3RP2S6J4VUA7D,B014IBJKNO,"{'Size:': ' 9.5 M US', 'Color:': ' Black/Red Bronze/White'}",Amazon Customer,The lines don't really show up unless there is a bright light on them. But other than that they are perfect. They are very true to size and are comfortable the first time you put them on.,4/5,1484265600,,,line really show unless bright light perfect true size comfortable first time put,187,1,1.0
35,888,5.0,True,"04 9, 2018",A1TFZVGT6J5NYZ,B0014F7B98,"{'Size:': ' 7 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Sandra calleros,Gracias,Five Stars,1523232000,,,gracias,7,1,1.0
36,2554,5.0,True,"05 6, 2017",AI4KO5XDRKDFR,B010RRWKT4,"{'Size:': ' 9.5 W US', 'Color:': ' Cool Grey / Volt - Wolf Grey - Pure Platinum'}",Ms. Trainer,Arrived in time. Fit as exoected. They take some breaking in but I wore them 2 days in a row for more than five hours per day.,Wide sneaker for wide feet,1494028800,,,arrived time fit exoected take breaking wore day row five hour per day,126,1,0.75
37,2223,1.0,True,"01 15, 2017",A8DR2Z71DERN0,B005AGO4LU,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Cool Grey/Volt/Pure Platinum'}",Dawn Rosa,After less than a week the sole ripped off on the outside of the shoe,Poor quality for Nike,1484438400,20.0,['https://images-na.ssl-images-amazon.com/images/I/816nEyCUCuL._SY88.jpg'],le week sole ripped outside shoe,69,0,1.0
38,805,5.0,True,"10 29, 2016",A2CP5A30XO5JUO,B0058YEJ5K,"{'Size:': ' 9 B(M) US', 'Color:': ' Wolf Grey/Black-pink Blast/White'}",Aaron O.,Love them!  Very comfortable and great for weight training!,Love them! Very comfortable and great for weight training,1477699200,,,love comfortable great weight training,59,1,1.0
39,1799,5.0,True,"04 11, 2017",AT72GRKOXVE25,B0092UF54A,"{'Size:': ' 10 W US', 'Color:': ' Cool Grey / Volt - Wolf Grey - Pure Platinum'}",Cristian Sosa,just do it :),Five Stars,1491868800,,,,13,1,0.75
40,2258,5.0,True,"11 16, 2016",AY6GA8WZR3JKV,B005AGO4LU,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Customer,EXCELLENT,Five Stars,1479254400,,,excellent,9,1,1.0
41,908,5.0,True,"02 28, 2018",A16BGUHQH20CIP,B0014F7B98,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Van G,"Comfortable, consistent each time I order and good looking",Sleek and sporty,1519776000,,,comfortable consistent time order good looking,58,1,1.0
42,878,5.0,True,"04 26, 2018",AHZ8GGXF4BCNP,B0014F7B98,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Pure Platinum/Blue Glow/Wolf Grey'}",Melissa Williams,Love these shoes.. they are so comfortable.,Five Stars,1524700800,,,love shoe comfortable,43,1,1.0
43,1157,5.0,True,"11 7, 2016",A2FCRNY9C46Q4H,B0014F7B98,"{'Size:': ' 10 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Darlene Christ,These are as far as comfort goes the most comfortable pair of sneakers I have I suffer from sciatica pain that goes into my feet I have difficulty finding the proper support and comfort in shoes I would recommend these most definitely.,These are as far as comfort goes the most comfortable pair of sneakers I have I suffer from sciatica ...,1478476800,3.0,,far comfort go comfortable pair sneaker suffer sciatica pain go foot difficulty finding proper support comfort shoe would recommend definitely,235,1,1.0
44,854,5.0,False,"05 24, 2016",A15DWAOMHKY7F2,B0058YEJ5K,,N. Barker,"This is the most comfortable shoe I've ever had. No other shoe can compare to how the individual nubs on the bottom allow your foot to be cushioned, yet work like it's suppose to. My feet feel cradled in this shoe and hard surfaces don't make my feet ache anymore.

These shoes have a small amount of support, but not much, which I like as I'm coming from vibram five fingers. (Sorry vffs, I'm bailing after 2 years of shin splints, no matter what I did).

Highly recommended for walking/running on concrete or tracks. As long as nike continues to make the flex supreme, they will get my money. Please don't change this shoe!",Time to leave the fad of the month for something that works.,1464048000,8.0,,comfortable shoe ever shoe compare individual nub bottom allow foot cushioned yet work like suppose foot feel cradled shoe hard surface make foot ache anymore shoe small amount support much like coming vibram five finger sorry vffs bailing year shin splint matter highly recommended walking running concrete track long nike continues make flex supreme get money please change shoe,625,1,1.0
45,2091,4.0,True,"08 24, 2017",A2GWLCDWM7V59I,B005AGO4LU,"{'Size:': ' 9 B(M) US', 'Color:': ' Pure Platinum/Blue Glow/Wolf Grey'}",Carol G,I have had this style before in a different color and have received many compliments on the shoes.  They are great walking shoes!  I wear orthotics and these shoes are one of the best I have found to accommodate them for fit.,Love these shoes,1503532800,,,style different color received many compliment shoe great walking shoe wear orthotics shoe one best found accommodate fit,225,1,1.0
46,2030,4.0,True,"01 25, 2018",ATHL3S7ZD436V,B005AGO4LU,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Joanna D,"Very good overall.
Now Ive been a huge Sketchers Go Walk fan for some time and the only reason I tried these instead of the latest number 4 of those is because the tread looked too slippery to me.
These shoes are very sturdy and the grip of the soles has been very solid so far. I use them for basic workout cardio and cross training, as well as work as a massage therapist (I go through shoes fast enough that Ive recently consolidated).
If you're a Go Walk fan, these do not offer the same level of cushion-comfort as those, HOWEVER, they offer the kind of long-term comfort to make them a durable option.
The material of the shoes seem very durable and the breathable. My feet do not feel hot in them.
Now these shoes are ideal for a basic workout or cross training, I would not get them to do 25,000 steps in Walt Disney World.
Solid choice, overall.",Good shoes,1516838400,,,good overall ive huge sketcher go walk fan time reason tried instead latest number tread looked slippery shoe sturdy grip sol solid far use basic workout cardio cross training well work massage therapist go shoe fast enough ive recently consolidated go walk fan offer level cushion comfort however offer kind long term comfort make durable option material shoe seem durable breathable foot feel hot shoe ideal basic workout cross training would get step walt disney world solid choice overall,854,1,1.0
47,2814,5.0,True,"01 10, 2018",AC5PPX3XLCZN1,B014IBJKNO,"{'Size:': ' 9.5 M US', 'Color:': ' Black/White/Anthracite/Stealth'}",Greg &amp; Kristin Hyder,Glad I read the reviews and ordered a half size too big. These are light weight. I worked out in them last night and had a great work out. They are very comfortable. I would recommend these to anyone. I am a Beach Body Coach and these are now my new favorite shoes to work out in. I feel like I am walking in slippers when I wear these shoes. They are so comfortable. I LOVE them so much. I never buy myself anything nice and for Christmas got an Amazon gift card and used it to buy myself these sneakers and they are so awesome. I really do love them and have been telling all my friends about them. GET THESE SHOES!,Glad I read the reviews and ordered a half size ...,1515542400,3.0,,glad read review ordered half size big light weight worked last night great work comfortable would recommend anyone beach body coach new favorite shoe work feel like walking slipper wear shoe comfortable love much never buy anything nice christmas got amazon gift card used buy sneaker awesome really love telling friend get shoe,617,1,1.0
49,418,5.0,True,"12 22, 2016",AEHOCC2S72M38,B001IKJOLW,"{'Size:': ' 12 B(M) US', 'Color:': ' Cool Grey/Volt/Pure Platinum'}",Amazon Customer,This pair fits perfect.....the first pair was wrong size in the right box.....definitely order again!!!!!,Five Stars,1482364800,,,pair fit perfect first pair wrong size right box definitely order,105,1,1.0
50,954,5.0,True,"11 2, 2017",A10X6EMVZGVX9E,B0014F7B98,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Hyper Jade/Mtlc Silver/Hyper Turq'}",vanessa nix,love them!,Five Stars,1509580800,,,love,10,1,1.0
51,71,5.0,True,"08 6, 2014",A3CNRM11BHAR1A,B0012DR1LU,,DD,Perfect color!,I love Havaianas!,1407283200,,,perfect color,14,1,1.0
52,3005,5.0,True,"01 12, 2017",A2AXI9WHORKU6X,B014IBJKNO,"{'Size:': ' 8 M US', 'Color:': ' Black/White/Anthracite/Stealth'}",J. Spatsie,Cute and comfortable,Five Stars,1484179200,,,cute comfortable,20,1,1.0
53,2909,5.0,True,"06 15, 2017",AXJZFD1IUBAE7,B014IBJKNO,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Joanna Lyn,"So comfortable, I don't even feel like I have a sneaker on. Based on the other reviews I got a half a size up and glad I did.","So comfortable, I don't even feel like I have a ...",1497484800,,,comfortable even feel like sneaker based review got half size glad,125,1,1.0
54,2705,3.0,True,"07 21, 2016",A3IO5BLF4EPZDR,B010RRWKT4,"{'Size:': ' 10 M US', 'Color:': ' Black/White/Anthracite/Stealth'}",Wendita,I always buy the same size this ones came to large,large shoe,1469059200,,,always buy size one came large,50,1,1.0
55,1785,5.0,True,"04 28, 2017",AASAT3YLO3WTB,B0092UF54A,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/Wolf Grey/White/Pink'}",Rerch,good quality,Five Stars,1493337600,,,good quality,12,1,1.0
56,1312,1.0,True,"11 19, 2017",A1BN6I0B2OF7WB,B009MA34NY,"{'Size:': ' 8 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",goldenhikergirl,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,TOO NARROW!,1511049600,,,usually wear size fit fine way narrow thought might stretch didnt give away,133,0,1.0
57,422,5.0,True,"12 12, 2016",A37OEAOYVLKYC,B001IKJOLW,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Lisa (Hartford CT),"I actually have 3 pairs of these trainers.  They are very comfortable, there is a neoprene sleeve that goes around your ankle that makes them the most comfortable for me compared to normal athletic shoes.  They run a little narrow - for me this is perfect, but you may want to round up on the size or try on in the store first if your feet are on the wider side.",Great,1481500800,3.0,,actually pair trainer comfortable neoprene sleeve go around ankle make comfortable compared normal athletic shoe run little narrow perfect may want round size try store first foot wider side,362,1,1.0
58,2756,5.0,True,"06 16, 2018",A135SGOQMVWABQ,B014IBJKNO,"{'Size:': ' 9 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Susan,"I wear these everyday to work, the gym, etc.",Five Stars,1529107200,,,wear everyday work gym etc,44,1,1.0
59,1335,5.0,True,"09 27, 2017",A2JCYVQLKWULGM,B009MA34NY,"{'Size:': ' 9 B(M) US', 'Color:': ' Black'}",Manda Lynn,Super comfy!,Five Stars,1506470400,,,super comfy,12,1,1.0
60,727,3.0,True,"03 17, 2017",A1ZR8LQHUOUFJP,B0058YEJ5K,"{'Size:': ' 10 B(M) US', 'Color:': ' Wolf Grey/Platinum/White/Crimson'}",Mammot,"Fit is fine, but not much cushioning in the footbed. The first time wearing them on a long walk I developed a blister on the bottom of my foot.",Not my favorites...,1489708800,,,fit fine much cushioning footbed first time wearing long walk developed blister bottom foot,143,1,0.25
61,1647,5.0,True,"02 27, 2018",A3O3KF45YVTOGY,B0092UF54A,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Customer,I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase,I love the shoes and the description and photos were accurate,1519689600,,,love shoe fit expected photo description accurate looking shoe cushion support try different style far wanting lightweight breathable shoe satisfied purchase,269,1,1.0
62,1678,4.0,True,"11 28, 2017",A22WH1BPQH7XJD,B0092UF54A,"{'Size:': ' 10 B(M) US', 'Color:': ' Cool Grey/Pure Platinum/White/Volt'}",Priscilla Wallace ,My New Gym shoes! Love them,Love,1511827200,,,new gym shoe love,27,1,1.0
63,2837,2.0,True,"11 5, 2017",A3M69Q5SNV7U0X,B014IBJKNO,"{'Size:': ' 7 M US', 'Color:': ' Black/Green Glow-blue Glow-white'}",Amazon Customer,"I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot.","Zumba) - and really wanted to like them, since I loved the color and the ...",1509840000,6.0,,bought gym training weight class dance class body jam zumba really wanted like since loved color light weight feel worked high impact toe tingled went numb cramped toe bed narrow also enough cushion lunge ball foot hurt return wore several time might fine someone narrow foot,467,1,0.5
64,1780,5.0,True,"05 5, 2017",A24DSR6Y3A08QM,B0092UF54A,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Cool Grey/Volt-pure Platinum'}",Luiza A.,I've been using these to exercise and they are nice a roomy and allow my feet to breath. Also love the colors.,I've been using these to exercise and they are nice a roomy and allow my feet to breath,1493942400,,,using exercise nice roomy allow foot breath also love color,110,1,1.0
65,1276,5.0,True,"02 28, 2018",A16BGUHQH20CIP,B009MA34NY,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Van G,"Comfortable, consistent each time I order and good looking",Sleek and sporty,1519776000,,,comfortable consistent time order good looking,58,1,1.0
66,1103,4.0,True,"02 8, 2017",ABWHIDHK8JSRD,B0014F7B98,"{'Size:': ' 8 B(M) US', 'Color:': ' White/Hyper Pink/Pure Platinum/Wolf Grey'}",ddsmith8,"I was wearing running shoes for cardio dance classes at the gym because I thought they would be sufficient. After getting 2 blood blisters I did some research and found out cross trainers would be more appropriate which is how I ended up buying this pair. They are slightly longer in look then I  would like but I think that is typical of cross trainers. Also, the lacing is done in a way that allows you to tie too tightly if you're not careful (my toes were tingling during one particular work out when I had done this). Other then that I am very happy with the shoes.",They are slightly longer in look then I was would like but I think that is typical of cross trainers,1486512000,4.0,,wearing running shoe cardio dance class gym thought would sufficient getting blood blister research found cross trainer would appropriate ended buying pair slightly longer look would like think typical cross trainer also lacing done way allows tie tightly careful toe tingling one particular work done happy shoe,570,1,1.0
